Serial	Date Time	ref(µF)	(µF)	(µF)	(µF)	(µF)	(µF)	(°C)
3H-AC14   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-AC15   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-AC16   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-AC17   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-AC18   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-AC19   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-AC20   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-AC21   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-AC22   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-AC23   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-AC24   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-AC25   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-AC26   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-AC27   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-AC28   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-AC29   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-AC30   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC31   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC32   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC33   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC34   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC35   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC36   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC37   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC38   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC39   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC40   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC41   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC42   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC43   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC44   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC45   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC46   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC47   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC48   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC49   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC50   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC51   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC52   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC53   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC54   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC55   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC56   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC57   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC58   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC59   	01/01/2001 01:01	46,15	0	0	0	0	0	0
3H-BC60   	01/01/2001 01:01	46,15	0	0	0	0	0	0
